id,seller,area_total,area_kitchen,area_living,floor,rooms,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id,new,latitude,longitude,district,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating,distance_from_center,angle,average_room_size,bathroom_amount,relative_floor
3025,4,37.91,10.0,27.0,11,2,3.0,1,0,0,1,0,0,3,1,5893,0,55.770811,37.591189,0,2019,2,12,True,True,True,2,True,4,0.0379994138097549,0.3095671078797062,18.955,1,1.0909090909090908
9064,0,38.0,8.4,19.1,3,1,2.64,1,0,1,0,1,0,2,2,1509,0,55.549261,37.545402,6,1994,3,14,False,True,True,1,True,0,0.1884874924324434,-2.959080340778261,38.0,1,4.666666666666667
981,4,39.5,7.848838168148723,30.9,4,2,2.8,0,0,2,2,0,0,4,0,1618,0,55.8403,37.456684,8,1965,3,12,False,True,False,1,True,0,0.1621115603372098,-0.8606959279634375,19.75,0,3.0
21632,2,54.0,9.0,32.0,11,2,2.8,0,1,1,0,0,1,2,1,9513,0,55.861237,37.470967,1,2009,4,17,False,True,True,3,True,0,0.1668420653565227,-0.7091493017191759,27.0,1,1.5454545454545454
14135,1,33.0,6.55725720376982,17.77986175581374,9,1,3.0,1,0,2,2,0,0,0,1,9008,0,55.722644,37.646022,5,2019,2,10,False,True,True,0,False,4,0.0674802165525236,1.7491835708717507,33.0,1,1.1111111111111112
12895,2,39.0,10.0,17.3,14,1,2.8,1,0,1,0,0,1,4,1,4301,1,55.603746,37.655751,5,2020,7,18,True,True,True,0,False,4,0.1514083852557446,2.614679394297728,39.0,1,1.2857142857142858
20843,1,56.2,6.0,41.0,6,3,2.7,1,0,1,1,1,0,1,1,919,0,55.81920600000001,37.8002,3,1967,0,9,False,True,False,3,True,0,0.2362497524102783,1.204622680876223,18.73333333333333,1,1.5
11110,1,55.3,5.8,38.7,8,3,2.8,1,0,2,2,1,0,1,1,9504,0,55.76174,37.777751,3,1974,0,9,True,False,False,3,False,0,0.199986071415331,1.434757002865514,18.433333333333334,1,1.125
19947,4,57.3,6.0,39.0,7,3,2.48,0,1,1,0,1,0,1,1,3062,0,55.722208,37.419072,7,1972,0,9,False,True,False,3,True,0,0.1610195473086075,-1.6479433971036364,19.1,1,1.2857142857142858
10318,4,42.0,8.0,30.0,3,2,2.8,1,0,1,0,0,0,1,1,5663,0,55.703773,37.640066,5,2016,7,4,True,True,True,1,False,4,0.0678676458804949,2.042590969517977,21.0,1,1.3333333333333333
11283,3,38.45,10.0,16.8,7,1,2.7,0,1,2,2,0,1,4,1,6703,1,55.52117,37.354734,11,2022,2,16,True,True,True,3,False,1,0.3100490038822408,-2.3301222367415053,38.45,1,2.2857142857142856
14967,4,84.0,26.0,33.0,10,2,3.1,0,2,0,1,0,0,4,1,4693,1,55.69624,37.488035,7,2020,2,51,True,True,False,0,False,4,0.0992941122543869,-1.967637556437324,42.0,2,5.1
6489,4,155.0,20.0,80.0,4,4,3.1,2,0,2,2,0,0,0,2,8124,0,55.796526,37.486859,8,2011,2,32,False,True,True,0,True,0,0.1115161438553906,-0.9822536233738426,38.75,2,8.0
17397,3,63.04,11.9,32.6,11,2,2.9,0,0,2,2,0,1,4,1,1143,1,55.717006000000005,37.428791,7,2021,2,27,True,True,True,0,False,1,0.1518464294189665,-1.6870426953822486,31.52,0,2.4545454545454546
3366,4,160.0,10.7,30.9,4,2,3.0,0,0,1,1,0,0,3,1,3560,0,55.774487,37.595447,0,2003,2,15,False,True,True,3,False,4,0.0428984308867658,0.37805480085684,80.0,0,3.75
14492,3,37.8,11.0,16.0,10,1,3.0,1,0,1,0,1,0,4,1,4035,1,55.85718000000001,37.627687,2,2020,2,11,False,True,True,1,False,0,0.1316534181288076,0.3738032016373033,37.8,1,1.1
5400,1,32.0,6.0,20.3,4,1,2.8,1,0,1,0,1,0,0,2,1709,0,55.628637,37.652319,5,1964,3,5,True,False,False,3,False,0,0.128523003563818,2.540302084853173,32.0,1,1.25
7231,1,70.0,10.0,46.0,30,3,2.8,1,0,1,0,0,1,2,1,8296,0,55.80356999999999,37.591027,2,2017,7,47,True,True,True,0,False,0,0.0698905190802788,0.164052921584683,23.33333333333333,1,1.5666666666666667
1290,3,116.3,11.4,65.3,17,4,2.8,0,0,2,2,0,0,4,1,7624,1,55.785777,37.58579,1,2020,2,20,False,True,False,0,False,4,0.051530737011169,0.1201666245892617,29.075,0,1.1764705882352942
12349,2,39.1,7.5,19.1,14,1,2.74,1,0,1,0,1,0,2,1,1373,0,55.702896,37.922353,4,2010,7,17,False,True,False,3,True,0,0.3442052394324076,1.6630870337820942,39.1,1,1.2142857142857142
9683,1,36.0,11.0,18.0,10,1,2.48,1,0,2,2,0,1,1,2,2292,0,55.610285,37.736303,5,1985,4,16,False,True,True,3,True,0,0.2000263434483885,2.2415575448376743,36.0,1,1.6
11356,3,135.0,25.9,58.1,22,4,2.8,0,1,2,2,0,0,4,1,1352,1,55.78686999999999,37.494979,8,2019,2,22,False,True,True,1,False,0,0.099464237212612,-1.0176865299016558,33.75,1,1.0
22620,4,72.4,13.8,35.2,6,2,2.8,1,1,1,0,0,1,4,1,8551,1,55.829193,37.524309,1,2020,0,11,True,True,False,3,False,0,0.1095579558939773,-0.5291371640805571,36.2,2,1.8333333333333333
14356,4,82.0,11.0,46.0,3,3,2.7,0,2,1,0,0,2,2,1,1079,0,55.743461,37.804224,3,2014,3,13,False,True,False,3,True,0,0.2247853959575498,1.5314458400568232,27.33333333333333,2,4.333333333333333
18538,1,46.3,20.0,19.4,4,1,3.2,0,1,1,0,0,1,0,1,6085,1,55.751503,37.699463,4,2019,2,22,True,True,True,3,False,4,0.1210339701338375,1.4308324139412254,46.3,1,5.5
8648,1,37.0,7.0,25.0,1,2,2.64,1,0,0,1,0,0,1,2,7161,0,55.768061,37.74437,3,1966,4,9,False,True,False,1,True,0,0.1681173347661937,1.3705330756382963,18.5,1,9.0
19537,4,39.3,7.809097215398602,30.9,9,1,2.8,0,0,2,2,0,0,4,1,8543,0,55.702191000000006,37.949931,4,2019,3,25,True,True,True,1,False,4,0.3717353982943475,1.6581383812145445,39.3,0,2.7777777777777777
3915,1,39.0,8.6,20.9,2,1,2.6,0,1,0,1,1,0,2,1,672,0,55.773748,37.822963,3,1976,3,12,True,True,False,3,False,0,0.2464763193753312,1.4113635720734248,39.0,1,6.0
14716,4,190.0,50.0,70.0,11,4,2.8,3,0,1,0,1,0,2,1,6652,0,55.767398,37.56741,0,2000,2,14,True,True,True,3,False,0,0.0349777204851084,-0.3563632437582125,47.5,3,1.2727272727272727
11363,3,83.39,11.3,45.8,12,3,2.8,1,1,2,2,2,0,4,1,1274,1,55.847973,37.628882,2,2020,7,24,False,True,True,0,False,4,0.1235995875915474,0.410012652033734,27.796666666666667,2,2.0
3091,3,142.8,34.6,47.9,3,3,3.2,2,1,1,0,1,0,4,1,7529,1,55.747287,37.622774,0,2018,2,8,True,True,True,1,True,0,0.0449823506229009,1.2852864399192214,47.6,3,2.6666666666666665
2205,1,31.0,8.0,16.0,7,1,2.8,0,1,0,1,0,1,0,1,4281,0,55.87286,37.601439,2,1986,0,12,False,True,True,3,True,0,0.1399545571847975,0.1565925442060508,31.0,1,1.7142857142857142
18678,3,73.6,13.0,42.0,9,3,2.66,0,2,1,1,0,0,4,1,1748,0,55.968,37.150583000000005,9,2018,2,17,True,True,True,1,True,0,0.4883990500529111,-1.0725892590292156,24.53333333333333,2,1.8888888888888888
17894,2,37.0,8.0,22.5,2,2,2.8,1,0,1,0,0,0,1,2,4338,0,55.668376,37.6585,5,1965,0,9,False,True,False,3,True,0,0.1030106995082945,2.269281220155733,18.5,1,4.5
17417,4,38.0,10.0,17.0,11,1,2.8,1,0,0,1,1,0,0,1,6178,1,55.785169,37.564033,1,2019,2,19,True,True,True,0,True,0,0.0528974615016356,-0.2989582835962676,38.0,1,1.7272727272727273
800,3,119.5,10.7,46.1,2,3,2.8,0,1,2,2,1,0,4,1,6864,1,55.785731000000006,37.496291,8,2018,2,16,True,True,True,3,True,0,0.0977499062945076,-1.0205502570827651,39.833333333333336,1,8.0
11107,2,65.0,6.0,31.0,5,3,2.8,0,1,1,0,1,0,1,1,4429,0,55.753164,37.817124,3,1970,3,14,False,True,True,1,True,0,0.2382343718716917,1.4928692169033435,21.666666666666668,1,2.8
19335,2,86.52,10.0,25.8,21,2,3.2,1,0,1,0,1,0,2,1,6555,1,55.883202,37.683015000000005,2,2020,0,24,True,True,True,0,False,0,0.1810229186377298,0.6079811584649509,43.26,1,1.1428571428571428
12730,3,62.21,22.6,24.5,8,2,3.0,0,1,0,1,0,0,4,1,2344,1,55.850909,37.617527,2,2021,2,11,False,True,True,1,False,4,0.1223156892141024,0.3151630993979258,31.105,1,1.375
21069,0,39.0,7.749485786273423,30.9,10,1,2.64,0,0,0,1,1,0,3,1,2799,0,55.637525,37.590389,5,1981,3,25,False,True,True,3,True,0,0.0976890752195472,3.0310546070599247,39.0,0,2.5
15968,4,52.4,12.6,27.2,3,2,2.8,0,1,1,1,2,0,2,1,3364,0,55.939701,37.526178,2,2019,7,14,True,True,True,1,True,4,0.2119300578128978,-0.2548841098266914,26.2,1,4.666666666666667
5608,4,34.9,8.1,19.0,4,1,2.7,0,1,1,0,1,1,3,1,1767,0,55.699487,37.733904,4,1974,0,14,False,True,True,1,True,0,0.1582403509262838,1.7946712903425464,34.9,1,3.5
14701,4,135.0,10.0,99.0,3,4,2.8,2,1,1,0,0,0,3,1,6679,0,55.74031899999999,37.591997,0,1913,0,6,False,True,False,3,False,0,0.0136336291201231,1.1393699805164503,33.75,3,2.0
8922,1,47.5,9.0,29.0,1,2,2.8,1,0,1,0,0,0,3,1,3146,0,55.84229200000001,37.364355,8,1967,4,12,True,False,False,3,False,0,0.2406856051427685,-1.1069802882847852,23.75,1,12.0
7317,4,79.0,9.0,52.0,3,3,3.0,0,1,1,1,1,0,1,2,6249,0,55.879430000000006,37.713468,2,1957,0,4,True,False,False,3,False,0,0.1971999419236554,0.7461000467887716,26.33333333333333,1,1.3333333333333333
18518,2,57.0,9.0,36.0,16,2,2.74,0,2,1,0,0,1,3,1,1167,0,55.703951,37.946886,4,2019,7,17,True,True,True,1,False,0,0.3685514814029773,1.654101830973353,28.5,2,1.0625
2177,2,32.5,6.7,18.8,2,1,2.5,1,0,1,0,0,0,1,1,1515,0,55.881051,37.641126,2,1970,3,9,False,True,False,3,True,0,0.1588287078513102,0.3976945574784142,32.5,1,4.5
16096,1,45.0,6.0,26.5,3,2,2.8,1,0,1,0,1,0,1,1,1466,0,55.794517000000006,37.805159,3,1972,0,9,True,False,False,3,False,0,0.2333646862527184,1.3112148458532786,22.5,1,3.0
9628,4,62.0,10.7,30.9,11,2,2.8,0,0,2,2,0,0,4,1,44,1,55.71016899999999,37.647217,5,2021,7,16,False,True,True,0,True,4,0.0718894964805229,1.91780846907623,31.0,0,1.4545454545454546
5098,4,115.2,11.0,30.9,4,3,2.8,3,0,2,2,0,0,2,1,2000,0,55.710839,37.605068,5,2017,2,18,True,True,True,0,True,0,0.0348340503995495,2.322155842467087,38.4,3,4.5
21511,3,75.3,10.7,30.9,3,2,2.8,0,0,2,2,0,0,4,1,6542,1,55.79748299999999,37.495096,8,2011,2,18,False,True,True,0,True,0,0.1053332019464252,-0.9312623029704028,37.65,0,6.0
2210,4,61.3,7.5,40.0,4,3,2.8,0,1,2,2,1,0,1,1,5297,0,55.840851,37.605436,2,1994,2,16,False,True,True,1,True,0,0.1093266914164025,0.2384572632437841,20.433333333333334,1,4.0
8723,1,50.0,9.0,33.0,3,2,2.8,0,1,2,2,1,0,1,1,87,0,55.754385,37.811573,3,1970,4,12,False,True,True,3,False,0,0.2328011139722531,1.4857840100736917,25.0,1,4.0
22069,4,70.8,10.2,39.2,14,2,2.8,1,1,0,1,0,1,3,1,9291,0,55.677275,37.53738,6,2009,2,19,True,True,True,2,True,1,0.0712165602804987,-2.506792256014182,35.4,2,1.3571428571428572
13296,3,46.4,17.7,15.3,2,1,3.1,1,0,1,0,0,1,4,1,5839,1,55.790671,37.550136,1,2019,2,15,False,True,True,3,True,4,0.063331071258218,-0.4841281706111449,46.4,1,7.5
9460,4,38.0,11.0,19.0,16,1,3.1,0,0,2,2,0,0,3,2,5379,1,55.600893000000006,37.724077,5,2018,2,20,True,True,True,0,True,0,0.1968560341089893,2.3176085837460576,38.0,0,1.25
10906,4,239.0,60.0,100.0,36,4,2.8,0,3,2,2,0,0,4,1,8776,0,55.723257,37.52766,7,2011,2,53,True,True,True,0,True,0,0.0531802948520183,-1.7860848254754456,59.75,3,1.4722222222222223
13610,3,94.52,6.2,61.3,13,4,2.7,0,2,2,2,0,1,4,1,6703,1,55.52117,37.354734,11,2022,2,16,True,True,True,3,False,1,0.3100490038822408,-2.3301222367415053,23.63,2,1.2307692307692308
4295,1,80.0,12.0,56.0,9,3,2.8,0,0,2,2,0,0,4,0,6228,0,55.601635,37.33498,11,2002,3,10,False,True,False,3,False,0,0.2784413054544448,-2.06871445594787,26.666666666666668,0,1.1111111111111112
10152,1,16.0,3.0,13.0,1,1,2.8,1,0,2,2,0,0,4,1,4065,0,55.675214,37.768274,4,1982,3,12,False,True,True,3,False,4,0.1977926612663173,1.8758391630007225,16.0,1,12.0
3458,4,171.6,25.5,30.9,3,4,2.8,0,0,2,2,0,0,4,0,104,0,55.725118,37.572836,0,2013,7,11,False,True,True,0,False,4,0.0116691915470212,-2.521970953037871,42.9,0,3.6666666666666665
13196,1,68.4,15.0,34.0,10,2,2.8,1,0,1,1,0,1,2,1,3930,0,55.5718,37.492886,11,2014,7,12,False,True,True,1,True,0,0.1844753757113368,-2.6521594476561985,34.2,1,1.2
13728,1,47.6,9.3,27.7,5,2,2.5,0,1,1,1,1,0,4,1,4233,0,55.347674,37.390676,10,1989,7,5,True,False,False,3,True,4,0.4306072482374645,-2.6873656257855867,23.8,1,1.0
4441,3,64.4,8.9,38.0,2,2,3.1,1,0,2,2,0,0,4,1,3883,1,55.656986,37.559173,6,2019,2,32,False,True,True,1,False,4,0.0802775489436063,-2.884146323615714,32.2,1,16.0
11701,3,89.0,14.7,50.0,3,3,2.8,1,0,2,2,0,1,4,1,7644,1,55.784177,37.49709,8,2022,2,20,False,True,True,1,False,4,0.0962605315720948,-1.0299709604230574,29.666666666666668,1,6.666666666666667
14178,2,102.0,15.0,63.0,35,3,2.8,2,0,1,1,0,0,0,1,3665,0,55.637393,37.600388,5,2011,2,41,False,True,True,0,False,4,0.0994197739945211,2.931074845600429,34.0,2,1.1714285714285715
20089,1,86.0,10.7,41.0,12,3,2.5,0,1,2,2,0,0,1,1,3379,0,55.884903,37.538898,1,1995,2,14,True,True,True,1,True,0,0.155702604335899,-0.264565214962021,28.666666666666668,1,1.1666666666666667
18571,3,56.2,8.4,40.3,2,2,3.1,1,0,1,0,0,1,4,1,1093,1,55.707852,37.606685,5,2021,2,13,False,True,True,0,False,4,0.038070009057935,2.350501297457071,28.1,1,6.5
10785,3,37.81,10.1,14.6,15,1,2.8,1,0,2,2,1,0,4,1,6371,1,55.864303,37.372368,8,2019,7,25,True,True,True,0,False,4,0.2444761028870121,-1.0116515813527238,37.81,1,1.6666666666666667
20264,2,68.0,12.0,33.0,12,2,2.8,0,1,2,2,0,1,1,1,2853,0,55.533216,37.449327,11,2018,2,17,True,True,True,0,False,1,0.2398688275972106,-2.567404161908736,34.0,1,1.4166666666666667
12883,4,58.0,12.0,33.0,13,2,3.1,1,1,1,0,0,1,0,1,8610,0,55.689461,37.656631,5,2017,2,15,False,True,True,1,False,4,0.0892803113468076,2.101090955397693,29.0,2,1.1538461538461537
8621,1,39.0,9.0,20.0,2,1,2.8,1,0,1,0,0,0,2,1,672,0,55.773748,37.822963,3,1976,3,12,True,True,False,3,False,0,0.2464763193753312,1.4113635720734248,39.0,1,6.0
8687,1,34.8,9.8,19.9,12,1,2.8,1,0,1,0,1,0,2,1,7819,0,55.746193000000005,37.783455,3,1972,4,12,False,True,False,3,True,0,0.2041707635266187,1.5140725256427805,34.8,1,1.0
19928,1,34.0,6.75596196752042,18.31864544538385,3,1,2.64,0,1,2,2,1,0,1,1,5688,0,55.651582,37.582305,6,1976,4,14,True,True,True,3,False,0,0.083079505769121,3.1091796752563643,34.0,1,4.666666666666667
1301,4,154.0,18.7,81.0,19,4,3.0,2,0,1,0,0,2,3,1,3561,0,55.787811,37.519467,1,2008,2,23,False,True,True,3,False,0,0.08029324119954,-0.8466639203360877,38.5,2,1.2105263157894737
11502,1,46.0,6.0,30.0,1,2,2.8,0,1,1,0,0,0,1,1,3400,0,55.61618299999999,37.709766,5,1973,3,9,False,True,True,3,True,0,0.1759736371280116,2.3090891018041124,23.0,1,9.0
18526,4,88.2,13.9,43.5,10,3,2.8,0,1,2,2,3,0,4,1,8108,0,55.69903000000001,37.938711,4,2017,7,25,True,True,True,1,True,0,0.3608575131771612,1.6695771702531683,29.4,1,2.5
10238,3,147.9,10.7,30.9,14,1,3.0,0,0,2,2,0,1,4,1,2570,0,55.681047,37.551088,6,2019,2,20,True,True,True,0,True,1,0.0606917760140141,-2.6523115348150736,147.9,0,1.4285714285714286
21949,1,93.0,13.0,49.0,13,4,2.75,1,1,1,0,0,1,2,2,8940,0,55.655437,37.764519,4,1998,3,14,False,True,True,3,True,0,0.2011466634338003,1.9753923517467755,23.25,2,1.0769230769230769
15489,4,37.74,10.0,27.0,11,1,3.0,1,0,0,1,0,0,0,1,5893,0,55.770811,37.591189,0,2019,2,12,True,True,True,2,True,4,0.0379994138097549,0.3095671078797062,37.74,1,1.0909090909090908
2386,4,76.5,10.7,30.9,48,2,2.8,0,0,2,2,0,0,4,1,7605,1,55.697184,37.486499,7,2020,7,52,True,True,True,0,False,4,0.1003565652366668,-1.9530459338049104,38.25,0,1.0833333333333333
14947,4,37.8,7.511040069772702,20.366023465750285,4,1,2.64,1,0,1,0,1,0,2,2,8222,0,55.691557,37.491072,7,1985,3,17,False,True,True,3,True,0,0.0984564840404167,-2.02345655921144,37.8,1,4.25
12480,3,104.0,21.3,55.7,5,3,2.8,0,0,2,2,0,0,4,1,7624,1,55.785777,37.58579,1,2020,2,20,False,True,False,0,False,4,0.051530737011169,0.1201666245892617,34.666666666666664,0,4.0
6829,4,26.2,13.0,10.9,7,1,2.8,1,0,2,2,0,0,4,1,4535,0,55.86383299999999,37.539024,1,2019,3,9,True,True,True,1,True,0,0.1354399727619814,-0.3043569592589116,26.2,1,1.2857142857142858
