id,seller,price,area_total,area_kitchen,area_living,floor,rooms,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id,new,latitude,longitude,district,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating,distance_from_center,angle,average_room_size,bathroom_amount,relative_floor
11482,1,9750000.0,33.0,6.55725720376982,17.77986175581374,3,1,2.8,1,1,1,1,0,0,0,1,6946,0,55.710433,37.615291,5,2013,7,6,False,False,False,3,False,4,0.0431028401403945,2.1665066318529367,33.0,2,0.5
20575,4,130000000.0,208.0,18.0,122.0,4,4,3.2,2,0,1,1,2,0,3,2,1850,0,55.762622,37.611113,0,1955,0,9,True,True,False,1,False,0,0.0421486124070317,0.8440867450401938,52.0,2,0.4444444444444444
4191,1,7290000.0,58.5,6.5,42.2,4,3,2.8,1,0,1,0,0,0,2,1,2925,0,55.84229200000001,37.364355,8,1967,3,9,False,True,False,3,True,0,0.2406856051427685,-1.1069802882847852,19.5,1,0.4444444444444444
23014,1,2600000.0,18.2,2.0,14.2,1,1,2.64,1,0,1,0,0,0,0,1,7950,0,55.546165,37.521803000000006,6,2001,3,9,False,True,False,1,True,0,0.1971203572959082,-2.843946515420614,18.2,1,0.1111111111111111
12597,3,24462860.0,45.47,10.7,30.9,61,1,2.8,1,0,0,1,0,0,4,1,1047,1,55.751143000000006,37.533733000000005,0,2020,2,63,True,True,True,0,True,0,0.04876493897152,-1.225077324982474,45.47,1,0.9682539682539684
8383,1,6500000.0,37.9,6.5,24.0,1,2,2.6,0,1,1,0,0,0,2,1,2054,0,55.804172,37.81663,3,1966,3,12,False,True,False,3,False,0,0.2470121798811167,1.285354121289265,18.95,1,0.0833333333333333
18109,3,4412520.0,20.4,5.1,9.4,7,1,2.65,1,0,1,0,1,0,4,1,5633,1,55.72561,37.775397,4,2022,3,16,False,True,True,1,False,4,0.1959914952314501,1.6167730269911018,20.4,1,0.4375
9596,2,12699000.0,49.54,19.0,19.3,6,1,2.8,1,0,2,2,0,0,0,1,2818,0,55.69900500000001,37.638557,5,2019,2,20,True,True,True,2,False,0,0.0688673842495034,2.1142818340475884,49.54,1,0.3
2682,4,39700000.0,100.0,10.7,30.9,11,3,2.8,0,0,1,1,0,0,0,1,3881,0,55.702729000000005,37.509703,7,2005,2,17,True,True,True,0,True,0,0.0768391468060972,-1.998748026273586,33.333333333333336,0,0.6470588235294118
15938,1,11190000.0,62.1,8.2,39.0,12,3,2.64,0,1,2,2,0,2,1,1,8166,0,55.887796,37.558823,1,1976,3,12,True,False,False,3,False,0,0.1545824968975245,-0.1348975756623583,20.7,1,1.0
2215,4,1900000.0,55.8,10.7,35.0,1,1,2.8,0,0,1,0,1,0,0,1,741,0,55.337476,37.326231,10,2010,2,5,False,True,True,1,False,4,0.4710880036610086,-2.5736904566466765,55.8,0,0.2
