id,seller,price,area_total,area_kitchen,area_living,floor,rooms,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id,new,latitude,longitude,district,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating,distance_from_center,angle,average_room_size,bathroom_amount,relative_floor,subway_distance,cluster
2999,4,12740000.0,42.8,7.0,30.0,25,2,2.8,1,0,1,0,0,0,0,1,4574,0,55.75461800000001,37.524058,0,2019,2,55,True,True,True,0,True,0,0.05899344207591842,-1.227570903154805,21.4,1,0.45454545454545453,0.002847119245834786,8
9572,2,13700000.0,75.0,8.5,47.0,6,3,3.2,0,1,1,1,0,0,1,1,9299,0,55.693226,37.620761,5,1958,0,13,False,True,False,1,True,0,0.05847099969523328,2.360895930813362,25.0,1,0.46153846153846156,0.003724298188927957,8
16132,4,65500000.0,175.8,17.0,107.0,9,5,2.7,0,3,1,1,1,0,0,2,3086,0,55.70492,37.572306,6,1997,0,19,False,True,True,0,True,1,0.030726064209717883,-2.901561430420084,35.160000000000004,3,0.47368421052631576,0.01363849097224556,8
1751,4,12000000.0,50.1,21.9,16.6,7,1,3.3,1,0,1,0,0,0,4,1,6445,1,55.80944399999999,37.648277,2,2013,7,19,False,True,True,3,False,4,0.10144951043698971,0.7434790100449278,50.1,1,0.3684210526315789,0.009299326050845973,0
13593,4,7000000.0,42.0,10.7,30.9,3,1,2.8,0,1,2,2,1,0,2,1,5472,0,55.54551800000001,37.49497,11,2015,2,3,True,False,False,3,False,0,0.20731261482846147,-2.7210288468230917,42.0,1,1.0,0.022145185120021754,7
609,4,29089570.0,108.2,20.0,80.0,28,4,3.1,2,0,2,2,0,0,0,2,4806,0,55.780709,37.469826,8,2011,2,32,False,True,True,0,False,0,0.11901047829973127,-1.1744519943350347,27.05,2,0.875,0.016128724593100875,3
19040,4,10200000.0,56.5,10.7,30.9,2,3,2.64,0,1,2,2,0,0,2,1,7814,0,55.754405000000006,37.835243,3,1969,0,9,False,True,False,3,False,0,0.25638574075090603,1.4941185303770965,18.833333333333332,1,0.2222222222222222,0.018838218440179834,6
5695,3,4928711.0,24.54,4.881299397872411,14.3,9,1,2.8,1,0,1,0,0,1,4,1,4571,1,55.666858,37.759866,4,2021,2,22,False,True,True,0,False,4,0.19262241040163713,1.9310806469652941,24.54,1,0.4090909090909091,0.009148755106574766,2
11448,1,7300000.0,65.0,11.4,34.0,4,2,2.8,0,1,1,0,0,1,4,2,2294,1,55.603883,37.653226,5,2021,7,19,True,True,True,3,False,4,0.1501644715088891,2.6292369489805254,32.5,1,0.21052631578947367,0.023842054546539034,2
11196,3,8293804.0,35.78,11.6,15.1,18,1,3.1,1,0,2,2,0,0,4,1,3029,1,55.790195,37.472261,8,2021,2,25,True,True,True,0,False,0,0.12081557355222948,-1.0941553917067575,35.78,1,0.72,0.020133205060299485,3
12486,2,24900000.0,102.0,31.0,47.0,15,2,3.1,0,2,1,0,0,1,0,2,4886,0,55.809348,37.450863,8,2016,2,32,True,True,True,0,True,0,0.1487902660970439,-1.0457402588007367,51.0,2,0.46875,0.013258117249447627,3
