,price
3023,16000000.0
9060,6950000.0
981,7400000.0
21624,12000000.0
14130,9000000.0
12891,4750000.0
20836,8950000.0
11106,11000000.0
19940,9500000.0
10314,6650000.0
11279,4921600.0
14962,26500000.0
6486,40900000.0
17391,13137024.0
3363,74286840.0
14487,8667540.0
5397,6200000.0
7228,16800000.0
1290,41352000.0
12345,6500000.0
9679,6700000.0
11352,27135000.0
22612,12508000.0
14351,14850000.0
18532,11300000.0
8644,7000000.0
19530,5291200.0
3912,6600000.0
14711,80000000.0
11359,20162367.0
3089,88681123.0
2205,6600000.0
18672,9788800.0
17888,7800000.0
17411,13900000.0
800,21988000.0
11103,10900000.0
19328,14922980.0
12726,11533734.0
21062,9900000.0
15962,8750000.0
5605,7200000.0
14696,55000000.0
8918,5900000.0
7314,11500000.0
18512,8000000.0
2177,6200000.0
16090,7900000.0
9624,16721400.0
5095,52500000.0
21503,24757799.0
2210,7400000.0
8719,8500000.0
22061,26000000.0
13292,12342400.0
9456,9300000.0
10902,95000000.0
13606,9641040.0
4292,10999000.0
10148,3650000.0
3455,118000000.0
13192,9150000.0
13724,3900000.0
4438,15778000.0
11697,16006650.0
14173,19400000.0
20082,9000000.0
18565,11662786.0
10781,6479121.0
20257,7000000.0
12879,11600000.0
8617,6600000.0
8683,7700000.0
19921,7400000.0
1301,59000000.0
11498,6990000.0
18520,10009240.0
10234,41825158.0
21941,15950000.0
15484,14000000.0
2386,21716775.0
14942,8850000.0
12476,25804000.0
6826,3901000.0
15310,8400000.0
17097,14980000.0
17150,20000000.0
2219,4350000.0
16599,7000000.0
3772,18000000.0
15428,9000000.0
2854,87544000.0
1075,9000000.0
12803,10500000.0
23074,89000000.0
4265,7500000.0
4505,6200000.0
4063,8500000.0
11679,169970000.0
8690,7800000.0
13934,65000000.0
19943,35900000.0
5274,23591635.0
10134,9500000.0
6718,37000000.0
1702,27400000.0
9876,7529467.0
2137,13600000.0
1611,20900000.0
5231,15432567.0
1637,24644000.0
18564,11388600.0
15131,11500000.0
21038,5900000.0
4767,6950000.0
21273,28500000.0
6099,46950000.0
16994,8360420.0
21865,9503300.0
4853,8400000.0
17693,34200011.0
18176,8366500.0
7566,12300000.0
12790,7850000.0
9099,71052696.0
10070,13850000.0
21142,13500000.0
13812,7200000.0
16970,7000000.0
368,8683420.0
9164,7010268.0
8849,5600000.0
22449,18028000.0
8671,7470000.0
18238,24400000.0
8875,7600000.0
22616,24900000.0
5401,6200000.0
5684,6800000.0
16234,18223640.0
1380,8271309.0
6788,32136502.0
12992,10990000.0
15542,110000000.0
12251,8500000.0
2860,6490000.0
130,4950000.0
157,5696928.0
10164,5700000.0
13353,11500000.0
3972,7400000.0
15213,9908470.0
22567,21623580.0
18789,29800000.0
7803,53000000.0
9762,6700000.0
1728,6150000.0
1947,11336820.0
2821,80000000.0
6696,29447000.0
7367,15900000.0
5201,12142790.0
15749,120000000.0
6403,9834680.0
18062,72000000.0
10182,6000000.0
9689,9900000.0
12025,6285440.0
17589,15340000.0
17261,6000000.0
6369,8603600.0
21077,15847000.0
712,11006876.0
6268,6220998.0
2320,2950000.0
16073,6100000.0
5396,6500000.0
17338,8200000.0
14842,6000000.0
494,46000000.0
123,4792600.0
17915,24368313.0
20629,11338358.0
18638,12000000.0
17761,7999000.0
12443,60095000.0
5100,8799780.0
15876,41737500.0
20643,7650000.0
4446,21378000.0
192,6049390.0
20985,10490000.0
20554,135000000.0
12871,22090000.0
13420,10897200.0
10710,7503300.0
18681,9000000.0
4695,8350000.0
16414,40000000.0
3884,6200000.0
6840,9082675.0
7469,6200000.0
13814,7562080.0
14190,3255000.0
17271,6590000.0
9674,10000000.0
4673,62248500.0
21931,11338680.0
6527,18450000.0
4214,5000000.0
8439,12476310.0
14362,6400000.0
20489,8932455.0
3281,45500000.0
10663,14326400.0
2380,26738173.0
18795,106278172.0
10521,11634813.0
23101,6600000.0
9045,17550000.0
4275,9000000.0
6199,4700000.0
7146,33877000.0
5543,7400000.0
10667,8200000.0
13712,6800000.0
18992,68500000.0
15796,110500000.0
22127,46000000.0
11015,15982082.0
16023,5800000.0
13673,11000000.0
20972,8705430.0
1639,24800000.0
16780,165000000.0
4156,10150000.0
3768,16959969.0
2920,10300000.0
21979,18362625.0
18150,6260400.0
4852,8400000.0
11898,6100000.0
14367,7500000.0
185,5965433.0
16663,116816669.0
13874,80727722.0
3842,5550000.0
967,7000000.0
4399,9300000.0
7777,29400000.0
20194,4929126.0
10583,91475986.0
7381,18080202.0
13009,14400000.0
11538,4200000.0
7672,47500000.0
13067,16900000.0
2181,6300000.0
10544,10899000.0
10149,4500000.0
851,38225200.0
19330,15257057.0
5815,9545320.0
4486,17500000.0
3831,5300000.0
15128,8800000.0
7994,207600000.0
16365,26000000.0
19679,6350000.0
12286,33974600.0
22527,45000000.0
10158,5550000.0
4355,9300000.0
21032,15097400.0
14053,16290000.0
15808,158158503.0
12355,176268293.0
2953,11850000.0
13372,7490000.0
16983,7500000.0
4675,72910000.0
11161,12250000.0
19564,7673066.0
20500,12432000.0
7275,8750000.0
1889,8806170.0
7075,18500000.0
13825,8566790.0
7968,113600000.0
8134,79000000.0
12466,7800000.0
23059,25220642.0
20513,16776500.0
5506,7400000.0
4996,33000000.0
6513,14000000.0
16321,16551319.0
18107,11500000.0
4902,4015440.0
17666,8300000.0
19333,15700000.0
13544,7166860.0
6272,6400000.0
11594,8670000.0
8487,6800000.0
9634,16300000.0
12019,6700000.0
12727,6980000.0
23066,52000000.0
2471,18800000.0
2288,6650000.0
13120,5850000.0
3268,42000000.0
3873,6100000.0
5293,41924829.0
16539,8700000.0
6070,6100000.0
2272,5400000.0
3722,10328354.0
2844,16012880.0
301,7487693.0
2833,96900755.0
